record_id,state,district,block_taluka,station_location,longitude,latitude,year,month,season,ph,ec_us_cm,tds_mg_l,cl_mg_l,no3_mg_l,so4_mg_l,f_mg_l,total_hardness_mg_l,fe_mg_l,as_ppb,u_ppb,rainfall_mm,rainfall_source,rainfall_year,health_value,health_indicator,health_source,health_year,water_source,water_year,data_availability_status,data_type,rainfall_anomaly,rainfall_change,anomaly_score,abnormal_pattern_flag,risk_score,health_risk_component,water_risk_component,env_risk_component,hist_risk_component,vuln_risk_component,abnormal_risk_component,risk_class
REAL_WQ_47,Andhra Pradesh,Anakapalli,Munagapaka,Pudimadaka,83.0403,17.6422,2024,Pre-Monsoon,Pre-Monsoon,6.85,1379.0,932.0,180.0,59.0,91.0,0.42,281.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.023,0,30.0,0.33,0.14,0.48,0.25,0.35,0.28,LOW
REAL_WQ_48,Andhra Pradesh,Anakapalli,RAVIKAMATAM,Kottakota-DW13,82.7,17.7625,2024,Pre-Monsoon,Pre-Monsoon,7.85,2980.0,1758.0,412.0,5.0,116.0,2.35,355.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,0.002,1,34.8,0.33,0.32,0.48,0.25,0.35,0.34,MODERATE
REAL_WQ_49,Andhra Pradesh,Anakapalli,RAVIKAMATAM,Medivoda,82.7847,17.7794,2024,Pre-Monsoon,Pre-Monsoon,7.66,919.0,507.0,69.0,52.0,29.0,0.67,328.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.085,0,26.8,0.33,0.03,0.48,0.25,0.35,0.13,LOW
REAL_WQ_50,Andhra Pradesh,Anakapalli,ROLUGUNTA,Rolugunta1,82.6667,17.7117,2024,Pre-Monsoon,Pre-Monsoon,7.81,737.0,378.0,35.0,15.0,25.0,2.29,155.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.089,0,28.3,0.33,0.1,0.48,0.25,0.35,0.12,LOW
REAL_WQ_51,Andhra Pradesh,Anakapalli,S.RAYAVARAM,Addaroddu,82.7472,17.4236,2024,Pre-Monsoon,Pre-Monsoon,7.33,3061.0,1809.0,576.0,3.0,163.0,1.13,440.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.028,0,32.1,0.33,0.22,0.48,0.25,0.35,0.27,MODERATE
REAL_WQ_52,Andhra Pradesh,Anakapalli,Sabbavaram,Vangali,83.0973,17.8279,2024,Pre-Monsoon,Pre-Monsoon,7.17,1061.0,630.0,90.0,9.0,64.0,1.46,360.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.105,0,26.2,0.33,0.02,0.48,0.25,0.35,0.08,LOW
REAL_WQ_53,Andhra Pradesh,Anantapuram,Gooty,Gooty,77.6155,15.1132,2024,Pre-Monsoon,Pre-Monsoon,7.62,2425.0,1446.0,389.0,9.0,127.0,2.31,163.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.065,0,32.6,0.33,0.26,0.48,0.25,0.35,0.18,MODERATE
REAL_WQ_54,Andhra Pradesh,Anantapuram,Gooty,GOOTY,77.6155,15.1132,2024,Pre-Monsoon,Pre-Monsoon,7.67,2583.0,1602.0,535.0,8.0,130.0,1.78,119.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.037,0,32.0,0.33,0.22,0.48,0.25,0.35,0.25,MODERATE
REAL_WQ_55,Andhra Pradesh,Anantapuram,Guntakal,Guntakal2,77.3837,15.1557,2024,Pre-Monsoon,Pre-Monsoon,7.63,2060.0,1118.0,131.0,54.0,122.0,0.23,294.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.078,0,29.6,0.33,0.14,0.48,0.25,0.35,0.15,LOW
REAL_WQ_56,Andhra Pradesh,Anantapuram,Kalyandurg,Kalyandurg-alt,77.1071,14.5483,2024,Pre-Monsoon,Pre-Monsoon,7.6,1851.0,931.0,99.0,17.0,44.0,0.44,360.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.098,0,27.6,0.33,0.07,0.48,0.25,0.35,0.1,LOW
REAL_WQ_57,Andhra Pradesh,Anantapuram,Raptadu,Gandlaparthy,77.5435,14.5419,2024,Pre-Monsoon,Pre-Monsoon,7.5,2164.0,1051.0,222.0,46.0,132.0,0.98,366.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.091,0,28.3,0.33,0.1,0.48,0.25,0.35,0.12,LOW
REAL_WQ_58,Andhra Pradesh,Anantapuram,Rayadurg,Rayadurg-new,76.8484,14.7054,2024,Pre-Monsoon,Pre-Monsoon,7.44,1435.0,678.0,121.0,106.0,49.0,0.31,233.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.065,0,33.2,0.33,0.28,0.48,0.25,0.35,0.18,MODERATE
REAL_WQ_59,Andhra Pradesh,Anantapuram,Singanamala,Sivapuram,77.7269,14.7788,2024,Pre-Monsoon,Pre-Monsoon,7.47,1084.0,687.0,67.0,116.0,56.0,1.15,344.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.048,0,33.4,0.33,0.28,0.48,0.25,0.35,0.22,MODERATE
REAL_WQ_60,Andhra Pradesh,Anantapuram,Singanamala,Sivapuram,77.7269,14.7788,2024,Pre-Monsoon,Pre-Monsoon,7.28,1086.0,693.0,77.0,84.0,55.0,1.03,354.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.065,0,31.4,0.33,0.21,0.48,0.25,0.35,0.18,MODERATE
REAL_WQ_61,Andhra Pradesh,Anantapuram,Tadpatri,Egudur,77.94,14.97,2024,Pre-Monsoon,Pre-Monsoon,7.62,3851.0,2275.0,629.0,4.0,710.0,0.1,260.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,0.021,1,33.4,0.33,0.25,0.48,0.25,0.35,0.38,MODERATE
REAL_WQ_62,Andhra Pradesh,Anantapuram,Vajrakarur,Gade Hothur,77.3051,15.0147,2024,Pre-Monsoon,Pre-Monsoon,7.5,4201.0,2205.0,727.0,6.0,540.0,0.46,582.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,0.017,1,33.4,0.33,0.25,0.48,0.25,0.35,0.37,MODERATE
REAL_WQ_63,Andhra Pradesh,Anantapuram,Vajrakarur,Vajrakarur,77.3831,15.0304,2024,Pre-Monsoon,Pre-Monsoon,7.61,1680.0,807.0,70.0,23.0,202.0,0.59,449.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.094,0,27.1,0.33,0.05,0.48,0.25,0.35,0.11,LOW
REAL_WQ_64,Andhra Pradesh,Anantapuram,Vajrakarur,Vajrakarur,77.3825,15.0223,2024,Pre-Monsoon,Pre-Monsoon,7.42,2500.0,1496.0,239.0,189.0,243.0,1.4,530.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,0.043,1,37.8,0.33,0.42,0.48,0.25,0.35,0.43,MODERATE
REAL_WQ_65,Andhra Pradesh,Annamayya,CHINNAMANDYAM,Chinnamandyam,78.7008,13.9489,2024,Pre-Monsoon,Pre-Monsoon,7.45,1469.0,924.0,168.0,15.0,59.0,1.5,389.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.116,0,27.3,0.33,0.07,0.48,0.25,0.35,0.06,LOW
REAL_WQ_66,Andhra Pradesh,Annamayya,GALIVEEDU,Galiveedu-alt,78.5,14.0,2024,Pre-Monsoon,Pre-Monsoon,7.49,1341.0,866.0,128.0,70.0,62.0,0.84,369.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.099,0,30.1,0.33,0.17,0.48,0.25,0.35,0.1,MODERATE
REAL_WQ_67,Andhra Pradesh,Annamayya,Kalakada,Kalakada,79.1778,13.0417,2024,Pre-Monsoon,Pre-Monsoon,7.24,1715.0,997.0,251.0,70.0,94.0,0.6,546.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.084,0,30.8,0.33,0.2,0.48,0.25,0.35,0.13,MODERATE
REAL_WQ_68,Andhra Pradesh,Annamayya,KALAKADA,Kalakoda,78.7958,13.8133,2024,Pre-Monsoon,Pre-Monsoon,7.25,2619.0,1695.0,346.0,19.0,44.0,0.5,488.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.048,0,31.3,0.33,0.2,0.48,0.25,0.35,0.22,MODERATE
REAL_WQ_69,Andhra Pradesh,Annamayya,Kambhamvaripalle,Vagalla (Naramakulapalli),78.9058,13.7743,2024,Pre-Monsoon,Pre-Monsoon,7.35,846.0,545.0,34.0,29.0,51.0,0.91,320.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.117,0,25.7,0.33,0.01,0.48,0.25,0.35,0.06,LOW
REAL_WQ_70,Andhra Pradesh,Annamayya,MADANAPALLE,Basani Khonda-DW14,78.5292,13.5592,2024,Pre-Monsoon,Pre-Monsoon,6.95,4960.0,3185.0,1431.0,10.0,245.0,1.35,992.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,0.113,1,34.5,0.33,0.25,0.48,0.25,0.35,0.6,MODERATE
REAL_WQ_71,Andhra Pradesh,Annamayya,Madanapalli,MADANAPALLI,78.5014,13.5563,2024,Pre-Monsoon,Pre-Monsoon,7.4,2285.0,1370.0,304.0,85.0,86.0,1.26,402.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.066,0,34.3,0.33,0.33,0.48,0.25,0.35,0.18,MODERATE
REAL_WQ_72,Andhra Pradesh,Annamayya,NIMMANAPALLE,Chintaparti-1,78.7153,13.5083,2024,Pre-Monsoon,Pre-Monsoon,7.26,2169.0,1338.0,380.0,32.0,152.0,1.16,514.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.083,0,29.4,0.33,0.14,0.48,0.25,0.35,0.14,LOW
REAL_WQ_73,Andhra Pradesh,Annamayya,PILERU,Piler(Rural)-PZ,78.9503,13.6444,2024,Pre-Monsoon,Pre-Monsoon,7.38,1225.0,759.0,93.0,62.0,70.0,0.88,428.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.091,0,28.9,0.33,0.12,0.48,0.25,0.35,0.12,LOW
REAL_WQ_74,Andhra Pradesh,Annamayya,PULLAMPETA,Ananta-samudram (OW2 of Aq-II (3rd Well,79.1697,14.0656,2024,Pre-Monsoon,Pre-Monsoon,7.73,366.0,211.0,19.0,4.0,1.0,0.46,150.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.108,0,25.7,0.33,0.0,0.48,0.25,0.35,0.08,LOW
REAL_WQ_75,Andhra Pradesh,Annamayya,RAMASAMUDRAM,Ramasamudram-DW15,78.4267,13.3728,2024,Pre-Monsoon,Pre-Monsoon,7.37,1000.0,571.0,119.0,40.0,67.0,0.17,277.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.105,0,26.0,0.33,0.01,0.48,0.25,0.35,0.09,LOW
REAL_WQ_76,Andhra Pradesh,Annamayya,VEERABALLE,Sanipai,78.95,14.1186,2024,Pre-Monsoon,Pre-Monsoon,7.52,1440.0,880.0,151.0,3.0,87.0,0.67,326.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.111,0,27.2,0.33,0.06,0.48,0.25,0.35,0.07,LOW
